,Entity,Code,Meningitis ,Alzheimer's disease and other dementias ,Parkinson's disease ,Nutritional deficiencies ,Malaria ,Drowning ,Interpersonal violence ,Maternal disorders ,HIV/AIDS ,Drug use disorders ,Tuberculosis ,Cardiovascular diseases ,Lower respiratory infections ,Neonatal disorders ,Alcohol use disorders ,Self,Exposure to forces of nature ,Diarrheal diseases ,Environmental heat and cold exposure ,Neoplasms ,Conflict and terrorism ,Diabetes mellitus ,Chronic kidney disease ,Poisonings ,Protein,Terrorism,Road injuries ,Chronic respiratory diseases ,Cirrhosis and other chronic liver diseases ,Digestive diseases ,"Fire, heat, and hot substances ",Acute hepatitis ,Total
164,Sao Tome and Principe,STP,261,345,106,518,2112,107,256,264,12,10,771,6589,3704,1971,37,88,0,1598,0,3103,0,332,1144,38,496,0,518,2147,1402,1941,13,103,59972
165,Saudi Arabia,SAU,6453,35620,12674,3250,832,18507,7707,8367,11106,3436,48535,982797,108663,147215,1903,26827,416,24024,244,239941,1001,65129,137413,5672,3133,603,403385,93099,92019,119165,16234,2156,5255052
166,Senegal,SEN,71048,23104,6362,27936,313661,9480,4163,47596,66251,370,118330,344242,239054,314856,1882,24096,274,296554,1831,158631,2352,50220,53574,6364,26812,323,44652,64657,56647,103066,7876,3470,4979468
167,Serbia,SRB,1491,58299,19371,521,0,4993,11085,434,1762,1610,8575,1871623,38458,23352,12618,61881,110,881,2145,748460,15002,96475,60218,1606,269,3,33328,116869,47483,123698,3585,246,6732902
168,Seychelles,SYC,120,446,142,66,0,325,156,33,123,24,145,6339,1676,324,26,228,8,160,0,3820,0,502,948,21,61,0,397,847,787,1280,60,17,38162
169,Sierra Leone,SLE,65418,10415,2970,59264,394491,9389,2659,33292,63856,171,83713,204497,261440,222639,989,9473,1564,164175,1236,75543,21270,22070,23124,4730,57962,840,33622,36038,32012,56378,6096,6856,3936384
170,Singapore,SGP,363,20565,3843,39,0,714,1346,95,1241,262,2585,166594,62407,1659,263,13921,0,729,60,142869,5,9045,12338,126,19,5,6793,21242,6048,13231,338,31,977552
171,Slovakia,SVK,868,43798,9216,224,0,4982,4769,154,127,952,1831,818968,60630,6883,5610,24921,102,492,3807,355136,7,23085,20573,1045,157,7,21269,31495,49822,83803,2082,76,3153782
172,Slovenia,SVN,279,24111,4564,92,0,871,903,42,110,587,755,220690,18440,1178,4534,16660,50,138,699,158853,28,12043,5357,293,21,1,8427,19122,20852,35478,401,30,1111218
173,Solomon Islands,SLB,670,431,417,993,4811,2886,1078,1761,561,80,1322,48085,15041,4499,255,3308,145,8630,82,12015,4,7852,2807,389,984,4,3695,8138,3028,4532,502,388,278786
174,Somalia,SOM,104739,8593,2520,255787,120767,19779,54614,68767,83076,374,468031,366002,546989,439571,2876,26119,3180,504287,5191,159580,51392,51124,36974,13080,250235,10242,73067,84506,78108,123721,13471,26233,8105990
175,South Africa,ZAF,79896,141842,29281,94315,6150,59316,681957,56368,4874296,7414,789786,2234693,983661,674828,17782,248248,877,600313,15128,1360234,3788,609364,278319,20736,91068,1997,638445,556637,186085,390351,71250,4701,31618252
176,South Korea,KOR,5844,271861,55134,9919,162,39111,29741,2374,2780,4041,125935,2078568,215693,38693,34316,339017,2506,18152,9216,2196530,299,320632,141262,12520,5320,2,309564,381143,355103,512816,20072,2035,15080722
177,South Sudan,SSD,70107,10881,2433,166849,166774,8589,18486,20434,120952,222,142094,185687,302252,284275,1335,10941,273,224539,2227,100978,41463,27540,23219,5410,163526,2634,29058,38756,42206,68747,6831,6078,4591592
178,Spain,ESP,7534,658652,132799,9970,0,17253,12428,651,60056,23618,18850,3726864,330411,25943,12056,111994,487,19990,2643,3106705,887,295332,322884,4128,5813,437,158947,893090,281432,638695,8187,475,21778422
179,Sri Lanka,LKA,11783,75095,16844,7428,7106,32172,31380,5458,1926,4091,41538,1149527,130288,76201,15616,168817,37228,47298,2512,399926,82347,232901,122796,2953,6971,9744,94894,351548,141622,168215,11899,875,6977998
180,Sudan,SDN,52004,62346,15624,73456,100763,62584,30941,89630,91233,6526,57868,1887465,374139,934503,2487,49751,1059,561001,2039,359195,92787,52868,106168,25388,70645,3493,212125,214960,111989,171067,46951,67188,11980486
181,Suriname,SUR,325,2077,439,523,877,787,1305,282,3319,73,347,30883,3817,5653,334,3553,0,1575,7,13646,1,4743,4575,72,493,1,2716,2577,2868,5720,331,41,187920
182,Sweden,SWE,1157,147340,31548,2919,0,3473,3904,121,1379,7706,4000,1213946,96953,4618,12645,45243,60,11587,2048,710254,27,54982,38049,1180,2339,15,17048,107028,28634,92419,3192,97,5291822
183,Switzerland,CHE,1639,110105,21919,2181,0,1957,2354,138,2901,7601,1791,722512,59500,5219,7984,43897,350,4115,329,516815,24,45284,39494,314,1251,23,16295,80707,30449,76721,1354,182,3610810
184,Syria,SYR,13964,31912,8546,5605,32,7005,9409,5786,541,3186,3975,1056981,76767,130737,1464,9839,131,13311,926,198726,365293,41936,66362,3019,4666,14724,62105,79697,48393,64019,6676,1233,4673932
185,Taiwan,TWN,4647,136808,36187,4225,0,26404,17345,856,3399,8816,43535,981658,224208,16447,7659,109715,3693,2137,570,1148629,36,266537,155474,6938,3969,35,160502,217564,201363,309002,7032,268,8211316
186,Tajikistan,TJK,10431,15844,5497,3510,4932,22954,10944,2576,2325,530,22215,535923,157704,90126,5101,9728,2072,67291,309,120108,24266,25178,6711,2965,560,307,17297,50477,45011,59507,10001,3740,2672280
187,Tanzania,TZA,146489,66904,14391,320554,800490,35519,74764,133746,2465047,2855,638516,1155416,1209289,1122254,7020,70982,807,743870,6332,629238,700,168174,124990,27430,309857,72,140881,162969,215936,350358,30282,19635,22391534
188,Thailand,THA,37372,335804,69870,32140,8592,169256,216115,18063,618532,12339,310507,2572195,493505,153777,21987,248729,11807,167298,1244,2369108,7044,386466,509707,7720,28794,2506,717057,666147,431669,707685,19719,8236,22721980
